iter	Passed	Remaining
551	4774	3623
552	4775	3610
553	4781	3598
554	4782	3585
555	4785	3572
556	4793	3563
557	4806	3557
558	4814	3548
559	4868	3572
560	4870	3559
561	4882	3553
562	4934	3576
563	4950	3572
564	4953	3559
565	4996	3575
566	4999	3562
567	5014	3557
568	5021	3547
569	5033	3541
570	5064	3547
571	5074	3540
572	5076	3526
573	5078	3512
574	5080	3498
575	5088	3489
576	5093	3478
577	5173	3517
578	5183	3509
579	5186	3496
580	5198	3489
581	5200	3475
582	5225	3477
583	5229	3465
584	5232	3452
585	5270	3462
586	5272	3449
587	5276	3436
588	5299	3436
589	5304	3425
590	5308	3412
591	5309	3399
592	5337	3402
593	5341	3389
594	5346	3378
595	5349	3366
596	5377	3368
597	5381	3356
598	5384	3344
599	5387	3331
600	5392	3320
601	5396	3308
602	5400	3295
603	5403	3283
604	5408	3272
605	5413	3260
606	5417	3248
607	5432	3243
608	5437	3232
609	5444	3222
610	5446	3208
611	5451	3197
612	5456	3186
613	5459	3174
614	5476	3170
615	5479	3157
616	5481	3144
617	5485	3133
618	5499	3127
619	5509	3119
620	5511	3106
621	5540	3108
622	5548	3099
623	5550	3086
624	5573	3085
625	5576	3073
626	5577	3060
627	5580	3047
628	5582	3035
629	5584	3022
630	5586	3010
631	5590	2998
632	5640	3011
633	5646	3001
634	5648	2988
635	5649	2975
636	5653	2964
637	5658	2953
638	5663	2942
639	5674	2934
640	5684	2926
641	5690	2916
642	5697	2906
643	5714	2901
644	5717	2889
645	5722	2878
646	5725	2867
647	5752	2867
648	5755	2855
649	5760	2845
650	5791	2846
651	5802	2839
652	5804	2826
653	5818	2820
654	5819	2807
655	5821	2795
656	5823	2783
657	5825	2770
658	5826	2758
659	5828	2746
660	5830	2734
661	5832	2722
662	5833	2710
663	5835	2698
664	5837	2685
665	5838	2673
666	5840	2662
667	5842	2650
668	5844	2638
669	5845	2626
670	5847	2614
671	5849	2602
672	5851	2673	5942	2618
674	5943	2606
675	5945	2594
676	5952	2584
677	5967	2578
678	5969	2567
679	5971	2555
680	6010	2559
681	6019	2550
682	6024	2540
683	6029	2530
684	6032	2518
685	6035	2507
686	6042	2498
687	6050	2488
688	6054	2478
689	6092	2481
690	6115	2477
691	6117	2466
692	6121	2455
693	6124	2444
694	6126	2433
695	6132	2422
696	6134	2411
697	6149	2405
698	6151	2393
699	6166	2387
700	6179	2380
701	6189	2371
702	6195	2361
703	6208	2354
704	6215	2345
705	6221	2335
706	6261	2338
707	6304	2341
708	6315	2333
709	6319	2323
710	6324	2312
711	6342	2307
712	6351	2298
713	6353	2287
714	6357	2276
715	6359	2264
716	6364	2254
717	6367	2243
718	6368	2232
719	6371	2221
720	6374	2210
721	6377	2199
722	6379	2188
723	6381	2177
724	6384	2166
725	6385	2154
726	6389	2144
727	6394	2134
728	6409	2127
729	6417	2118
730	6418	2107
731	6420	2096
732	6423	2085
733	6427	2075
734	6457	2073
735	6459	2062
736	6460	2051
737	6462	2040
738	6466	2030
739	6495	2027
740	6503	2018
741	6507	2008
742	6510	1997
743	6516	1988
744	6522	1978
745	6529	1969
746	6538	1960
747	6542	1950
748	6546	1940
749	6550	1930
750	6560	1921
751	6583	1917
752	6590	1907
753	6593	1897
754	6610	1891
755	6613	1880
756	6618	1871
757	6621	1860
758	6644	1855
759	6648	1845
760	6652	1835
761	6657	1825
762	6658	1815
763	6660	1804
764	6668	1795
765	6696	1792
766	6701	1782
767	6705	1772
768	6709	1762
769	6713	1752
770	6716	1742
771	6718	1731
772	6720	1721
773	6722	1710
774	6724	1700
775	6725	1690
776	6727	1679
777	6743	1672
778	6745	1662
779	6746	1652
780	6750	1642
781	6765	1635
782	6768	1625
783	6772	1615
784	6792	1609
785	6814	1604
786	6824	1595
787	6826	1585
788	6866	1583
789	6878	1576
790	6902	1570
791	6910	1561
792	6912	1551
793	6938	1546
794	6940	1536
795	6942	1526
796	6943	1515
797	6945	1505
798	6950	1496
799	6962	1488
800	6976	1480
801	6978	1470
802	6982	1460
803	6984	1450
804	7052	1454
805	7054	1444
806	7057	1434
807	7060	1424
808	7066	1415
809	7070	1405
810	7072	1395
811	7079	1386
812	7087	1377
813	7089	1367
814	7104	1359
815	7106	1349
816	7108	1339
817	7116	1331
818	7119	1321
819	7145	1315
820	7163	1308
821	7167	1299
822	7169	1289
823	7176	1280
824	7188	1272
825	7205	1264
826	7212	1255
827	7226	1248
828	7230	1238
829	7232	1228
830	7234	1218
831	7238	1209
832	7241	1199
833	7245	1190
834	7248	1180
835	7252	1171
836	7271	1164
837	7273	1154
838	7277	1145
839	7282	1135
840	7305	1129
841	7307	1119
842	7310	1110
843	7317	1101
844	7323	1091
845	7326	1082
846	7328	1072
847	7331	1063
848	7354	1056
849	7362	1048
850	7376	1040
851	7415	1035
852	7417	1026
853	7419	1016
854	7422	1007
855	7427	997
856	7435	989
857	7437	979
858	7438	969
859	7440	960
860	7442	950
861	7443	941
862	7445	931
863	7447	922
864	7449	912
865	7450	903
866	7452	893
867	7461	885
868	7464	876
869	7470	867
870	7473	858
871	7479	849
872	7517	843
873	7530	835
874	7538	827
875	7542	818
876	7544	808
877	7546	799
878	7567	792
879	7569	782
880	7591	775
881	7594	766
882	7604	757
883	7611	749
884	7627	741
885	7631	732
886	7635	723
887	7637	713
888	7639	704
889	7643	695
890	7646	686
891	7650	677
892	7654	668
893	7670	660
894	7675	651
895	7676	642
896	7684	633
897	7693	625
898	7697	616
899	7700	607
900	7713	599
901	7717	590
902	7721	581
903	7725	572
904	7744	564
905	7748	555
906	7751	546
907	7762	538
908	7763	529
909	7765	520
910	7780	512
911	7799	504
912	7801	495
913	7804	486
914	7811	478
915	7815	469
916	7817	460
917	7834	452
918	7836	443
919	7838	434
920	7844	425
921	7850	417
922	7852	408
923	7855	399
924	7858	390
925	7861	382
926	7864	373
927	7867	364
928	7870	355
929	7881	347
930	7883	338
931	7887	330
932	7889	321
933	7901	313
934	7903	304
935	7906	295
936	7909	287
937	7911	278
938	7914	269
939	7915	261
940	7916	252
941	7918	243
942	7921	235
943	7923	226
944	7925	218
945	7928	209
946	7930	200
947	7932	192
948	7934	183
949	7936	175
950	7938	166
951	7939	158
952	7941	150
953	7944	141
954	7946	133
955	7949	124
956	7951	116
957	7952	107
958	7954	99
959	7956	91
960	7958	82
961	7967	74
962	7969	66
963	7970	57
964	7972	49
965	7974	41
966	7975	32
967	7977	24
968	7979	16
969	7982	8
970	7984	0
